age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
37,7,1,1,1,16,0,1,0,30,0,638,1,-1,0,0,1
53,1,1,1,1,640,0,1,2,11,0,321,2,-1,0,0,0
41,4,2,3,1,1104,1,1,0,9,4,352,1,-1,0,0,0
28,4,2,3,1,386,1,1,2,25,0,867,1,-1,0,0,1
28,4,2,1,1,227,1,1,2,30,7,278,1,-1,0,0,1
34,4,0,1,1,390,0,1,2,27,10,95,2,231,2,1,1
44,7,2,3,1,1090,1,1,2,19,1,204,4,532,2,2,1
49,7,2,3,1,151,0,1,2,8,1,97,3,-1,0,0,1
63,5,0,3,1,-39,1,1,2,1,7,387,2,-1,0,0,1
29,1,0,0,1,7,0,1,2,12,0,69,3,-1,0,0,0
42,4,0,1,1,994,0,1,2,25,0,365,5,-1,0,0,0
33,7,2,3,1,718,0,1,2,6,7,122,1,98,2,3,1
33,6,0,3,1,882,1,1,2,22,7,104,1,183,4,1,1
34,7,0,3,1,13,0,1,2,30,1,99,3,-1,0,0,0
34,6,2,1,1,79,0,1,2,28,1,219,3,-1,0,0,0
59,1,0,0,1,1939,1,1,2,23,7,172,1,-1,0,0,1
46,7,0,3,1,385,0,1,0,29,0,52,4,-1,0,0,0
44,6,0,1,1,1074,0,1,2,11,1,911,2,-1,0,0,1
22,5,2,1,1,2138,1,0,2,10,5,164,1,109,2,2,1
29,7,0,3,1,1387,0,1,2,18,0,256,2,-1,0,0,1
38,3,0,3,1,563,0,1,2,7,0,251,2,-1,0,0,0
46,3,1,2,1,973,1,1,2,2,6,297,1,-1,0,0,0
29,1,0,0,1,59,0,0,2,29,1,665,4,-1,0,0,0
34,1,0,1,1,1682,0,0,2,28,1,123,3,-1,0,0,0
33,7,1,3,0,280,1,0,2,18,3,155,1,-1,0,0,0
41,6,1,1,1,2550,0,1,2,15,0,894,2,347,2,1,0
41,2,0,0,1,365,1,1,2,8,5,203,5,-1,0,0,0
41,6,0,3,1,1,0,1,1,18,0,327,2,361,3,1,1
36,3,2,3,1,1189,1,1,2,17,5,220,1,-1,0,0,1
47,1,0,0,1,550,0,1,0,7,0,113,1,-1,0,0,0
59,10,0,1,1,417,0,1,2,7,0,476,2,-1,0,0,0
52,1,0,1,1,665,0,1,0,15,0,57,4,-1,0,0,0
35,1,2,0,1,-276,0,1,2,13,0,850,1,-1,0,0,1
32,7,0,3,1,937,1,1,2,28,5,90,1,94,2,1,0
56,3,1,1,1,191,1,1,2,23,1,335,3,-1,0,0,0
38,1,0,2,1,0,0,1,2,2,7,477,2,267,1,1,0
59,9,0,2,1,1541,1,1,2,5,5,790,1,-1,0,0,0
32,4,2,1,1,230,0,1,2,18,0,442,1,266,8,1,1
35,1,2,2,1,484,1,1,2,8,1,344,1,87,3,1,1
44,4,0,1,1,135,0,1,2,8,0,262,3,-1,0,0,0
37,7,2,3,1,1027,0,1,2,2,10,313,1,152,2,3,1
27,6,2,1,1,261,0,0,2,3,4,592,4,-1,0,0,1
25,6,2,1,1,131,0,0,0,9,0,237,1,-1,0,0,0
35,6,0,3,1,286,1,1,2,30,7,949,2,-1,0,0,1
29,6,2,1,1,1027,0,1,2,2,6,177,1,-1,0,0,1
27,11,2,3,1,3733,0,1,1,13,6,299,6,-1,0,0,1
51,1,0,0,1,230,0,1,0,6,0,673,1,-1,0,0,0
35,5,2,3,1,71,1,1,2,15,4,651,1,-1,0,0,1
67,10,0,3,1,701,1,1,2,6,5,254,2,-1,0,0,1
57,10,0,1,1,168,1,1,2,7,5,342,1,-1,0,0,1
31,7,1,3,1,883,0,1,2,5,10,112,2,106,1,1,1
23,11,2,1,1,556,0,1,2,15,0,170,2,-1,0,0,0
53,5,0,3,1,290,1,0,2,24,1,303,3,-1,0,0,0
49,4,0,1,1,308,1,1,2,27,1,266,5,-1,0,0,0
44,6,0,1,1,1248,0,0,2,8,0,428,3,-1,0,0,0
33,6,2,3,1,193,1,1,0,5,0,132,2,-1,0,0,0
33,7,0,3,1,322,0,1,2,16,7,77,3,-1,0,0,0
31,7,0,3,1,1224,0,0,2,20,3,75,2,119,2,3,0
35,2,2,0,1,745,1,1,1,5,4,522,3,-1,0,0,1
39,4,1,1,1,507,1,1,2,20,5,173,4,-1,0,0,0
50,4,1,1,1,0,1,1,2,29,9,159,1,120,2,1,1
29,7,2,3,1,268,1,1,2,16,7,667,1,-1,0,0,1
49,4,2,2,1,350,1,1,2,28,2,91,3,-1,0,0,0
28,4,2,3,1,387,0,1,2,20,7,205,1,82,1,1,1
48,1,1,0,1,0,1,1,0,6,4,248,2,-1,0,0,0
40,4,2,3,1,1175,1,1,2,14,7,184,1,-1,0,0,1
31,1,0,1,1,3311,0,1,0,20,0,719,1,-1,0,0,1
34,0,0,1,1,3119,0,1,0,21,0,250,4,-1,0,0,0
43,7,0,1,1,373,0,1,0,28,0,54,1,-1,0,0,0
51,4,0,1,1,-1944,0,1,2,7,0,623,1,-1,0,0,1
37,7,0,3,1,630,1,1,2,30,7,315,1,87,1,3,1
55,7,0,1,1,2693,1,1,2,22,9,182,1,184,7,3,1
53,8,1,1,1,587,1,1,2,19,3,561,1,-1,0,0,1
41,1,0,1,1,0,0,1,2,1,7,625,2,-1,0,0,0
37,3,2,1,1,1045,1,1,2,17,10,406,2,41,1,1,1
22,11,2,1,1,1522,1,1,2,30,8,368,2,-1,0,0,1
35,1,1,0,1,300,0,1,0,13,0,945,2,-1,0,0,1
39,7,0,1,1,1880,1,1,2,12,5,768,2,-1,0,0,1
53,1,1,0,1,559,1,1,1,9,6,16,5,-1,0,0,0
36,0,2,1,1,296,1,1,2,18,3,67,2,111,2,1,0
53,4,0,1,1,6,0,1,0,5,0,517,1,-1,0,0,0
62,1,0,1,1,272,1,1,2,11,3,289,1,92,3,3,1
49,4,2,1,1,1202,0,1,0,18,4,122,1,-1,0,0,0
54,6,0,0,1,976,0,1,0,3,4,137,3,-1,0,0,0
44,1,0,3,1,2185,0,1,0,16,0,698,1,-1,0,0,0
54,7,1,3,1,3473,0,1,2,12,5,306,2,-1,0,0,0
35,4,0,3,1,328,0,1,2,22,1,654,2,-1,0,0,1
35,3,2,0,1,167,1,0,2,11,1,614,2,-1,0,0,1
33,6,2,1,1,-15,1,1,1,12,0,326,3,350,2,1,0
37,7,0,3,1,108,0,0,2,4,4,262,2,-1,0,0,1
37,4,1,1,1,3068,0,0,2,20,3,370,2,195,1,2,1
32,4,2,1,1,10,1,1,2,19,5,190,2,-1,0,0,0
39,1,1,1,1,0,0,1,2,11,0,275,2,307,1,2,0
37,0,0,3,1,342,0,1,0,6,4,212,1,-1,0,0,0
29,3,2,3,1,1788,1,1,2,27,8,353,1,-1,0,0,1
27,4,0,1,1,58,0,1,0,28,0,82,1,-1,0,0,0
57,10,0,2,1,230,1,1,2,6,7,177,2,210,3,1,1
41,8,1,1,1,271,0,1,0,19,4,196,2,-1,0,0,0
50,6,2,1,1,167,1,0,2,28,1,201,3,-1,0,0,0
61,10,0,0,1,3738,1,1,1,6,6,188,1,-1,0,0,0
38,1,0,1,1,292,0,0,0,6,4,84,2,-1,0,0,0
39,1,0,0,1,34,0,1,0,27,0,114,1,-1,0,0,0
50,4,0,3,1,2313,1,1,2,5,5,553,1,-1,0,0,1
30,7,2,3,1,572,1,1,2,17,4,339,3,183,2,3,1
56,1,0,1,1,1521,0,0,2,21,3,19,2,179,3,2,0
24,4,0,1,1,556,0,1,2,6,3,368,2,80,2,3,1
32,0,0,1,1,390,1,1,2,6,9,440,1,280,1,1,1
53,4,0,1,1,1982,0,0,2,27,3,160,1,-1,0,0,1
38,3,1,0,1,92,0,0,0,29,0,118,3,-1,0,0,0
46,5,1,1,1,0,1,1,0,10,5,6,1,-1,0,0,0
27,4,0,1,1,241,1,0,0,26,6,889,1,-1,0,0,0
73,10,0,0,1,1388,1,1,2,20,1,146,3,190,3,3,0
44,7,0,2,1,21,1,1,2,24,5,323,2,-1,0,0,0
49,10,0,0,1,-37,1,1,0,4,1,191,2,-1,0,0,0
52,3,0,1,1,1000,1,1,2,5,5,766,2,-1,0,0,1
43,4,0,1,1,2344,0,1,0,27,0,111,2,-1,0,0,0
36,7,0,3,1,495,1,1,2,5,5,157,3,97,2,3,1
43,1,0,1,1,576,0,0,0,13,0,148,1,-1,0,0,0
57,10,0,1,1,427,1,1,2,29,2,246,1,-1,0,0,0
64,5,0,3,1,661,1,1,2,21,11,367,2,294,2,1,1
32,7,0,3,1,2431,0,1,2,14,0,646,5,-1,0,0,1
30,4,2,1,1,2734,1,1,2,21,3,459,3,-1,0,0,1
43,4,1,1,1,-36,0,1,2,17,3,190,1,104,1,1,0
41,1,0,0,1,3658,0,1,2,9,7,268,1,330,1,1,0
33,3,0,0,1,908,0,0,2,14,1,184,2,-1,0,0,0
28,6,2,3,1,373,0,1,2,4,6,126,1,-1,0,0,0
35,4,0,1,1,294,0,1,2,9,10,301,1,90,4,3,1
42,7,2,3,1,525,1,1,2,13,5,127,2,-1,0,0,0
40,7,2,3,1,1509,1,1,2,12,0,333,1,58,3,1,0
73,10,0,1,1,2850,1,1,2,17,3,300,1,40,8,1,1
35,1,0,0,0,-1489,0,0,0,29,0,177,1,-1,0,0,0
45,3,0,1,1,0,1,1,0,4,4,153,6,-1,0,0,0
29,7,2,3,1,600,0,1,2,18,8,170,5,-1,0,0,0
32,7,2,3,1,111,0,1,0,8,0,162,2,-1,0,0,0
46,0,0,3,1,1920,1,1,2,22,5,604,6,-1,0,0,1
47,6,0,1,1,298,0,1,2,11,0,183,1,-1,0,0,0
21,11,2,0,1,423,1,1,2,8,7,104,5,-1,0,0,1
45,4,0,1,1,144,0,0,2,14,1,154,4,-1,0,0,0
30,1,0,1,1,631,0,1,2,19,3,174,2,-1,0,0,0
37,7,2,3,1,0,1,1,2,7,1,643,3,-1,0,0,0
23,1,0,1,1,272,1,1,2,14,5,100,2,-1,0,0,1
39,3,0,1,1,208,1,0,2,9,6,122,2,-1,0,0,0
38,7,1,3,1,76,1,1,2,30,2,220,3,-1,0,0,0
25,6,2,1,1,120,0,1,0,3,4,542,1,-1,0,0,0
29,1,2,1,1,-20,1,0,2,21,1,574,1,-1,0,0,1
46,1,2,3,1,283,1,1,2,7,7,299,1,-1,0,0,1
29,1,0,0,1,-382,0,1,2,28,1,35,2,-1,0,0,0
45,1,0,0,1,101,0,1,0,12,0,460,5,-1,0,0,1
24,1,2,1,1,167,1,0,2,18,6,134,2,-1,0,0,1
35,1,0,0,1,0,1,1,2,31,1,57,4,-1,0,0,0
31,7,2,1,1,1310,0,1,2,18,0,12,2,-1,0,0,0
26,6,2,1,0,0,0,1,2,16,1,157,2,-1,0,0,0
35,4,2,3,1,2453,0,1,2,13,5,119,2,-1,0,0,0
47,1,0,1,1,1996,1,1,0,5,4,761,2,-1,0,0,1
55,9,0,1,1,1157,1,1,2,12,1,289,1,412,2,1,0
31,1,2,1,1,953,0,1,2,14,0,479,1,346,2,3,1
42,7,1,3,1,461,0,1,0,3,4,72,1,-1,0,0,0
39,1,0,1,1,661,0,1,2,3,6,84,4,267,4,1,0
53,4,0,3,1,395,1,1,2,29,8,136,1,148,1,1,1
31,1,1,1,1,-277,0,1,1,17,1,1008,2,-1,0,0,1
52,6,2,1,1,2398,0,1,2,3,3,412,1,-1,0,0,1
57,8,0,3,1,209,1,1,0,19,4,453,1,-1,0,0,0
54,5,0,3,1,990,1,1,2,3,4,244,2,-1,0,0,1
51,3,1,1,1,65,1,0,2,15,1,881,1,-1,0,0,1
31,3,2,1,1,3,0,1,2,5,0,41,1,-1,0,0,0
38,7,2,3,1,455,0,1,2,19,6,255,2,555,6,3,1
32,8,0,1,1,262,1,1,2,29,2,203,1,-1,0,0,0
25,11,2,1,1,1608,1,1,2,30,7,664,2,-1,0,0,1
35,7,0,3,1,0,0,0,2,25,1,86,4,-1,0,0,0
40,6,0,1,1,-283,1,1,0,20,4,253,2,-1,0,0,0
31,4,2,1,1,1170,0,1,0,2,4,120,2,-1,0,0,0
57,7,0,3,1,375,1,1,2,21,8,135,1,-1,0,0,1
51,1,0,0,1,844,0,1,0,29,0,184,3,-1,0,0,0
51,6,0,1,1,2662,1,1,1,28,2,148,2,-1,0,0,0
26,11,2,2,1,19,1,1,1,30,7,268,1,-1,0,0,0
46,6,0,1,1,22,1,1,2,26,5,388,6,-1,0,0,1
37,3,0,1,1,1543,0,1,2,22,0,298,1,10,6,1,1
38,4,0,1,1,318,1,1,2,5,5,274,1,182,6,3,1
29,6,0,3,1,332,1,1,2,9,7,179,1,-1,0,0,1
37,4,2,1,1,1130,1,1,2,26,6,152,1,-1,0,0,1
33,1,0,1,1,312,0,1,0,4,4,151,2,-1,0,0,0
37,4,2,1,1,3326,0,1,0,21,0,799,1,-1,0,0,1
62,7,0,1,1,1128,1,1,2,2,9,236,1,290,3,2,1
47,7,1,3,1,107,1,1,0,15,0,246,1,-1,0,0,0
34,1,2,1,1,2764,0,1,2,13,0,158,1,357,1,1,0
31,4,2,3,1,176,1,1,2,21,5,241,4,-1,0,0,0
38,6,0,1,1,47,0,1,2,4,0,288,5,-1,0,0,1
51,5,0,2,1,2094,1,1,2,8,4,458,6,-1,0,0,1
35,6,0,1,0,76,1,0,0,17,4,107,1,-1,0,0,0
30,6,0,1,1,-170,0,0,0,26,0,130,1,-1,0,0,0
28,6,2,1,1,154,0,1,2,15,0,536,1,364,1,2,1
37,1,0,1,0,-399,0,0,0,3,4,21,3,-1,0,0,0
35,7,1,3,1,141,1,0,2,20,3,728,1,-1,0,0,1
69,10,0,1,1,0,1,1,2,28,7,184,2,126,2,2,1
33,7,0,3,1,516,0,1,2,19,3,245,4,-1,0,0,0
42,7,0,3,1,-700,0,1,0,14,0,110,1,-1,0,0,0
70,10,0,0,1,2795,1,1,2,8,2,301,2,-1,0,0,1
32,6,2,1,1,344,1,1,2,26,0,530,2,-1,0,0,1
64,10,0,1,1,1574,1,1,1,29,1,301,3,-1,0,0,1
36,8,2,1,1,115,1,1,2,9,6,71,2,-1,0,0,0
25,3,1,1,1,1694,1,1,2,7,1,159,2,-1,0,0,0
34,3,0,1,1,24,0,1,0,28,0,124,1,-1,0,0,0
22,11,2,1,1,552,1,1,2,1,9,327,1,-1,0,0,1
33,7,2,3,1,191,1,0,2,3,6,678,4,209,1,1,0
26,1,2,1,1,592,0,0,0,27,0,174,1,-1,0,0,0
33,3,0,1,1,387,0,1,2,7,7,327,2,138,2,1,0
37,0,0,0,1,8,0,0,2,16,1,46,1,-1,0,0,0
58,7,2,3,1,1387,0,1,1,3,6,140,6,6,6,2,0
37,6,0,1,1,1314,0,1,2,22,0,74,1,14,9,1,0
69,10,0,1,1,3588,0,1,2,10,11,429,1,-1,0,0,1
36,4,0,3,1,521,1,1,2,20,8,347,3,-1,0,0,1
36,7,0,3,1,93,1,1,2,12,1,262,2,182,7,1,1
53,7,0,3,1,2578,1,1,2,19,3,299,4,107,2,1,0
42,1,0,1,1,443,0,1,0,2,4,671,5,-1,0,0,1
35,7,2,3,1,2646,1,1,2,13,8,221,1,182,1,3,1
39,5,1,1,1,0,0,1,0,23,0,210,2,-1,0,0,0
27,4,0,3,1,8,0,0,2,18,0,398,1,370,2,1,0
61,2,0,0,1,211,1,1,2,31,5,443,2,186,3,1,1
58,7,0,3,1,3768,0,1,0,18,4,316,1,-1,0,0,0
33,6,0,1,1,920,1,1,2,16,3,130,1,95,2,1,1
28,3,2,1,1,458,1,1,2,4,6,112,4,201,3,1,0
27,7,0,3,1,802,1,1,2,22,9,569,1,-1,0,0,1
61,7,0,3,1,3371,1,1,2,28,9,299,2,-1,0,0,1
45,4,2,3,1,0,1,1,2,22,5,87,4,-1,0,0,0
37,7,2,3,1,427,0,1,0,20,0,121,1,-1,0,0,0
55,6,0,1,1,139,1,1,2,30,7,241,1,-1,0,0,1
32,1,0,0,1,3136,0,1,2,19,3,820,1,-1,0,0,1
40,1,0,0,1,34,0,1,2,6,0,350,2,344,1,1,0
35,7,0,3,1,1731,1,1,2,31,1,361,4,-1,0,0,1
31,7,2,3,1,924,1,1,2,7,9,231,1,94,3,3,1
35,2,2,1,1,1015,0,1,0,5,4,406,2,-1,0,0,1
31,7,2,3,1,15,1,1,2,11,5,119,2,-1,0,0,0
56,1,0,0,1,0,0,1,2,17,1,82,1,-1,0,0,0
54,7,0,3,1,195,1,0,2,4,6,47,1,265,6,2,0
45,6,0,1,1,476,1,1,2,6,5,356,1,364,1,2,1
54,1,0,0,1,316,0,1,2,14,0,240,1,-1,0,0,0
34,8,2,1,1,1965,1,1,1,4,0,714,1,-1,0,0,1
38,7,0,3,1,1617,0,1,2,16,7,691,1,-1,0,0,0
26,11,2,3,1,39,1,1,2,26,0,396,3,-1,0,0,1
35,3,2,1,1,1742,0,1,2,31,1,39,2,-1,0,0,0
28,4,0,1,1,655,0,1,0,9,0,179,2,-1,0,0,0
33,3,0,1,1,1697,1,1,2,3,3,179,1,-1,0,0,1
60,10,1,3,1,439,1,0,2,25,0,464,1,321,1,1,1
33,5,0,3,1,263,1,1,2,16,3,79,4,94,3,1,0
60,6,2,1,1,473,1,1,2,5,6,175,2,8,1,2,0
48,7,0,3,1,0,1,0,2,19,6,204,4,182,1,3,1
27,4,2,3,1,401,1,1,2,6,5,218,3,93,2,3,1
73,10,0,0,1,279,1,1,2,28,2,399,3,-1,0,0,1
33,7,2,3,1,935,1,1,2,9,6,385,2,92,8,3,1
53,1,0,0,1,421,0,1,2,20,3,677,1,-1,0,0,1
48,3,2,0,1,-139,1,1,2,13,0,75,2,-1,0,0,0
35,7,2,3,1,565,0,1,0,30,0,763,1,-1,0,0,1
34,4,2,1,0,103,0,0,2,24,1,147,1,-1,0,0,0
39,4,2,3,1,393,1,1,2,28,4,325,1,94,1,3,1
28,6,1,1,1,451,0,1,2,13,0,302,1,301,1,3,1
24,3,2,1,1,638,0,0,2,7,0,792,3,-1,0,0,1
23,11,2,3,1,0,1,1,2,10,5,213,1,-1,0,0,1
52,4,1,1,1,1005,0,1,2,2,4,195,1,-1,0,0,1
34,7,2,3,1,76,0,1,2,13,0,747,2,371,3,1,1
47,7,2,3,1,0,1,1,2,21,5,136,2,-1,0,0,0
35,1,0,1,1,260,0,1,1,13,0,155,6,-1,0,0,0
50,1,0,0,1,0,1,1,0,9,4,199,4,-1,0,0,0
42,4,0,3,1,1079,1,1,2,31,1,61,2,-1,0,0,0
52,3,0,0,1,306,0,1,2,13,0,650,5,-1,0,0,1
60,7,0,3,1,553,0,1,2,2,6,343,1,210,3,3,0
27,3,2,1,1,266,1,0,2,7,1,232,1,-1,0,0,0
20,11,2,1,1,130,1,1,1,4,0,75,3,-1,0,0,0
34,7,0,1,1,1007,0,1,2,21,1,240,2,-1,0,0,0
46,1,0,2,1,336,0,1,2,14,5,260,3,457,1,2,1
40,7,0,0,1,738,0,0,2,2,7,399,2,258,3,1,0
49,1,1,0,1,24,0,1,2,11,0,701,1,362,1,3,1
25,7,2,3,1,808,1,1,2,18,9,267,2,114,2,1,1
23,3,2,1,1,488,1,1,2,30,10,236,1,92,2,2,1
42,1,0,2,1,1154,0,1,2,16,7,341,2,336,3,2,0
42,1,0,1,1,2913,1,1,2,3,4,705,1,195,1,1,1
45,8,0,1,1,2040,1,1,1,2,6,803,1,-1,0,0,1
33,1,0,1,1,-112,0,1,0,28,0,132,1,-1,0,0,0
30,7,0,3,1,0,1,1,2,7,5,74,1,-1,0,0,0
29,5,2,3,1,1579,1,1,2,13,8,190,1,92,5,3,1
38,7,0,3,1,1276,1,1,2,17,0,272,2,182,3,3,1
60,1,1,1,1,1310,1,1,0,7,0,152,2,-1,0,0,0
55,1,0,0,1,-79,1,0,0,27,4,293,3,-1,0,0,0
36,7,1,3,1,1057,1,1,2,19,1,230,2,164,2,1,1
44,4,2,3,1,2033,1,1,2,3,9,444,1,99,1,1,1
24,5,2,3,1,91,0,1,2,15,0,134,2,-1,0,0,0
55,8,1,1,1,309,1,1,2,20,7,167,1,181,3,3,1
53,7,0,3,1,15,1,1,2,20,5,921,2,-1,0,0,1
27,3,2,1,1,-195,0,1,2,18,0,391,1,-1,0,0,1
27,11,2,1,1,538,1,1,2,4,4,124,2,-1,0,0,1
53,4,0,3,1,673,0,1,2,9,1,182,1,-1,0,0,0
37,3,1,1,1,49,0,1,0,16,0,619,2,-1,0,0,1
30,11,2,3,1,2539,1,1,1,5,10,199,5,-1,0,0,1
36,3,0,1,1,297,0,0,2,15,1,157,5,-1,0,0,0
51,1,0,0,1,1694,1,1,2,13,5,186,2,-1,0,0,0
37,7,0,3,1,0,0,1,2,23,7,242,5,153,7,1,1
32,4,2,3,1,1855,1,1,2,15,9,126,2,134,1,2,1
39,3,0,1,1,25,0,0,2,12,0,658,1,351,3,1,1
47,4,0,1,1,1167,0,1,2,4,5,505,1,96,6,3,1
60,1,0,1,1,2879,0,1,2,5,5,122,1,-1,0,0,0
36,4,0,1,1,283,0,0,0,27,4,56,2,-1,0,0,0
49,6,0,1,1,167,1,0,2,9,1,51,1,-1,0,0,0
48,1,0,0,1,343,1,1,0,19,4,136,1,-1,0,0,0
36,8,2,3,1,1291,1,1,2,30,7,195,1,86,1,3,1
37,7,0,3,1,1113,1,1,2,1,9,265,2,183,2,3,1
53,4,1,0,1,1443,0,1,0,14,0,476,1,-1,0,0,1
34,1,0,0,1,455,0,1,0,20,4,372,3,-1,0,0,0
26,7,0,3,1,775,1,1,0,19,0,35,3,-1,0,0,0
35,7,0,3,1,71,0,1,2,30,7,510,2,-1,0,0,0
48,2,2,1,1,1042,1,1,1,18,3,129,2,-1,0,0,0
26,4,2,1,1,1105,0,1,2,6,9,415,1,297,3,2,1
73,10,0,0,1,934,1,1,2,14,9,961,5,-1,0,0,1
32,4,2,3,1,-770,0,1,2,18,0,618,1,-1,0,0,1
48,4,0,1,1,1526,1,1,2,6,5,273,2,-1,0,0,0
30,4,2,3,1,3086,0,1,2,7,0,84,3,168,1,1,0
35,8,2,0,1,68,1,1,2,3,1,175,1,-1,0,0,1
66,10,0,3,1,3,1,1,2,6,5,550,1,-1,0,0,1
45,1,0,0,1,700,0,1,1,13,0,29,4,-1,0,0,0
29,11,2,1,1,658,1,1,2,15,1,198,2,244,4,2,1
30,7,2,3,1,536,1,1,2,15,8,244,1,105,1,3,1
37,0,0,1,1,-170,0,1,0,28,0,39,1,-1,0,0,0
36,1,2,1,1,2596,1,1,0,18,4,60,6,-1,0,0,0
55,6,0,1,1,865,0,1,2,8,1,105,1,82,2,1,0
34,4,0,1,1,2019,0,0,0,27,4,102,1,-1,0,0,0
34,3,0,1,1,1182,0,1,0,28,0,124,1,-1,0,0,0
46,7,1,1,1,0,1,1,2,27,5,763,5,-1,0,0,1
39,7,0,1,1,363,0,0,2,17,1,184,1,-1,0,0,0
47,1,0,0,1,-245,0,0,0,12,4,67,4,-1,0,0,0
59,6,0,1,1,2145,1,1,1,17,3,273,2,-1,0,0,0
34,3,0,1,1,295,0,0,2,4,1,64,1,-1,0,0,0
33,7,2,3,1,718,0,1,2,29,4,271,1,84,3,3,1
33,5,1,3,1,454,1,0,2,18,3,134,1,-1,0,0,0
45,1,0,1,1,2246,0,0,2,21,3,197,2,99,2,2,0
45,7,0,2,1,2724,1,1,2,28,4,359,2,182,1,3,1
32,7,2,3,1,131,0,1,2,11,5,112,1,81,1,2,0
29,4,2,3,1,1669,1,1,2,3,6,297,1,-1,0,0,1
46,4,0,3,1,0,1,1,0,6,4,159,1,-1,0,0,0
39,6,0,1,1,150,1,1,2,3,4,296,4,-1,0,0,1
57,7,0,3,1,473,1,1,2,1,4,295,1,-1,0,0,1
34,7,0,3,1,1778,1,1,2,4,3,358,1,162,2,1,1
45,4,2,3,1,1591,1,1,2,15,1,392,4,-1,0,0,0
41,1,0,1,1,306,0,1,1,11,0,86,1,369,2,1,0
47,3,2,2,1,1784,1,1,2,19,8,385,2,-1,0,0,1
30,3,0,1,1,271,0,1,0,15,0,365,1,-1,0,0,0
32,7,2,3,1,819,0,1,2,20,7,114,2,-1,0,0,1
45,1,1,0,1,594,0,1,0,29,0,833,2,-1,0,0,1
39,4,2,1,1,391,1,0,2,30,1,962,4,-1,0,0,1
45,1,2,1,1,0,1,1,2,5,5,374,2,472,1,3,1
28,6,2,1,1,0,0,0,2,18,0,390,5,-1,0,0,1
60,7,0,2,1,264,1,1,1,1,6,265,1,-1,0,0,1
55,7,0,2,1,3122,1,1,2,8,1,349,1,-1,0,0,1
57,10,0,1,1,3738,0,1,2,19,7,220,1,367,7,3,0
34,7,0,3,1,0,0,1,2,3,6,251,1,-1,0,0,1
